;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 23-Jan-20 23:05:58
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x158A      	BSF        PCLATH, 3
0x0001	0x2B5B      	GOTO       2907
_interrupt:
0x0004	0x00FF      	MOVWF      R15
0x0005	0x0E03      	SWAPF      STATUS, 0
0x0006	0x0183      	CLRF       STATUS
0x0007	0x1703      	BSF        STATUS, 6
0x0008	0x0096      	MOVWF      ___saveSTATUS
0x0009	0x080A      	MOVF       PCLATH, 0
0x000A	0x0095      	MOVWF      ___savePCLATH
0x000B	0x018A      	CLRF       PCLATH
0x000C	0x0870      	MOVF       R0, 0
0x000D	0x1303      	BCF        STATUS, 6
0x000E	0x00A1      	MOVWF      33
0x000F	0x0871      	MOVF       R1, 0
0x0010	0x00A0      	MOVWF      32
0x0011	0x0804      	MOVF       FSR, 0
0x0012	0x00A2      	MOVWF      34
0x0013	0x1C0C      	BTFSS      PIR1, 0
0x0014	0x282F      	GOTO       L_interrupt26
0x0015	0x100C      	BCF        PIR1, 0
0x0016	0x300B      	MOVLW      11
0x0017	0x008F      	MOVWF      TMR1H
0x0018	0x30DF      	MOVLW      223
0x0019	0x008E      	MOVWF      TMR1L
0x001A	0x082F      	MOVF       _countT, 0
0x001B	0x3E01      	ADDLW      1
0x001C	0x00F0      	MOVWF      R0
0x001D	0x3000      	MOVLW      0
0x001E	0x1803      	BTFSC      STATUS, 0
0x001F	0x3E01      	ADDLW      1
0x0020	0x0730      	ADDWF      _countT+1, 0
0x0021	0x00F1      	MOVWF      R0+1
0x0022	0x0870      	MOVF       R0, 0
0x0023	0x00AF      	MOVWF      _countT
0x0024	0x0871      	MOVF       R0+1, 0
0x0025	0x00B0      	MOVWF      _countT+1
0x0026	0x3000      	MOVLW      0
0x0027	0x0630      	XORWF      _countT+1, 0
0x0028	0x1D03      	BTFSS      STATUS, 2
0x0029	0x282C      	GOTO       L__interrupt154
0x002A	0x3004      	MOVLW      4
0x002B	0x062F      	XORWF      _countT, 0
L__interrupt154:
0x002C	0x1D03      	BTFSS      STATUS, 2
0x002D	0x282F      	GOTO       L_interrupt27
0x002E	0x2777      	CALL       _calculateTime
L_interrupt27:
L_interrupt26:
0x002F	0x1C8C      	BTFSS      PIR1, 1
0x0030	0x284B      	GOTO       L_interrupt28
0x0031	0x0835      	MOVF       _countS, 0
0x0032	0x3E01      	ADDLW      1
0x0033	0x00F0      	MOVWF      R0
0x0034	0x3000      	MOVLW      0
0x0035	0x1803      	BTFSC      STATUS, 0
0x0036	0x3E01      	ADDLW      1
0x0037	0x0736      	ADDWF      _countS+1, 0
0x0038	0x00F1      	MOVWF      R0+1
0x0039	0x0870      	MOVF       R0, 0
0x003A	0x00B5      	MOVWF      _countS
0x003B	0x0871      	MOVF       R0+1, 0
0x003C	0x00B6      	MOVWF      _countS+1
0x003D	0x108C      	BCF        PIR1, 1
0x003E	0x3000      	MOVLW      0
0x003F	0x0636      	XORWF      _countS+1, 0
0x0040	0x1D03      	BTFSS      STATUS, 2
0x0041	0x2844      	GOTO       L__interrupt155
0x0042	0x3064      	MOVLW      100
0x0043	0x0635      	XORWF      _countS, 0
L__interrupt155:
0x0044	0x1D03      	BTFSS      STATUS, 2
0x0045	0x284B      	GOTO       L_interrupt29
0x0046	0x158A      	BSF        PCLATH, 3
0x0047	0x22F8      	CALL       _izracunajStopericu
0x0048	0x118A      	BCF        PCLATH, 3
0x0049	0x01B5      	CLRF       _countS
0x004A	0x01B6      	CLRF       _countS+1
L_interrupt29:
L_interrupt28:
0x004B	0x1D0B      	BTFSS      TMR0IF_bit, BitPos(TMR0IF_bit+0)
